Mixture,state,B cells naive,B cells memory,Plasma cells,T cells CD8,T cells CD4 naive,T cells CD4 memory resting,T cells CD4 memory activated,T cells follicular helper,T cells regulatory (Tregs),T cells gamma delta,NK cells resting,NK cells activated,Monocytes,Macrophages M0,Macrophages M1,Macrophages M2,Dendritic cells resting,Dendritic cells activated,Mast cells resting,Mast cells activated,Eosinophils,Neutrophils
TCGA-DD-A39V-01A,cancer,0,0,0.012975595,0.379679687,0,0,0.010772072,0.025756728,0.171672356,0,0.016132669,0.043802757,0.068808393,0.058126852,0.069135248,0.125909362,0.005781062,0,0.01144722,0,0,0
TCGA-DD-A39V-11A,normal,0.000919536,0,0.024668603,0.195088188,0,0.111408707,0,0,0.052312854,0,0.076182557,0,0.122142417,0.036670457,0.045812026,0.298895671,0,0,0,0.003877144,0,0.032021839
TCGA-DD-A39W-01A,cancer,0.037694078,0,0.042546406,0.07852286,0,0.09827355,0,0,0.072928663,0,0.174770805,0,0.072103722,0.155157062,0.062030682,0.174663066,0,0,0.031309105,0,0,0
TCGA-DD-A39W-11A,normal,0.028079402,0,0.01395825,0.08961218,0,0.125348314,0,0,0.043335447,0,0.090647891,0.025221766,0.076213058,0.024415448,0.045719348,0.417804957,0,0,0.003133518,0,0,0.016510421
TCGA-DD-A39X-01A,cancer,0.048064401,0,0,0.172674737,0,0.176622222,0,0,0.045180393,0,0,0.056910821,0.019658679,0.06978719,0.044519423,0.254940408,0.058338483,0,0.053303242,0,0,0
TCGA-DD-A39X-11A,normal,0.090336334,0,0,0.188537458,0,0.106998984,0,0,0.031316543,0.043970084,0,0.033824157,0.024591357,0.019367256,0.042566209,0.397056617,0,0,0.021435001,0,0,0
TCGA-DD-A39Z-01A,cancer,0.09488438,0,0.00505895,0.232619248,0,0.222616696,0,0,0.096398811,0.003483972,0,0.116629226,0.01206847,0.064760036,0.01483693,0.087287305,0,0,0.049355976,0,0,0
TCGA-DD-A39Z-11A,normal,0.06379275,0,0.088663197,0.149944167,0,0.083700327,0,0,0.053246836,0.038733489,0.026030807,0.031948233,0.022168889,0.089880136,0.049793522,0.298802935,0,0,0.003294713,0,0,0
TCGA-DD-A3A1-01A,cancer,0,0,0,0.187233867,0,0.098478902,0,0.02783861,0.102873376,0,0,0.03899046,0,0.193502711,0.029429568,0.227361784,0,0,0.028648519,0,0,0.065642204
TCGA-DD-A3A1-11A,normal,0,0,0.134777011,0.235839428,0,0.07063888,0,0.007270177,0.035417986,0,0.023783269,0,0.074075766,0.021917953,0.04071177,0.336440991,0,0,0,0.011070984,0,0.008055785
