Mixture,state,B cells naive,B cells memory,Plasma cells,T cells CD8,T cells CD4 naive,T cells CD4 memory resting,T cells CD4 memory activated,T cells follicular helper,T cells regulatory (Tregs),T cells gamma delta,NK cells resting,NK cells activated,Monocytes,Macrophages M0,Macrophages M1,Macrophages M2,Dendritic cells resting,Dendritic cells activated,Mast cells resting,Mast cells activated,Eosinophils,Neutrophils
TCGA-DD-A1EB-01A,cancer,0.064383191,0,0,0.260508112,0,0.171606229,0.006726004,0,0.113449686,0,0.030218396,0.039502146,0.040135386,0.037535002,0.034034039,0.178561896,0,0,0.023339912,0,0,0
TCGA-DD-A1EC-01A,cancer,0.022826967,0,0.002727095,0.222569876,0,0.082020173,0.038808832,0.057368216,0.074335722,0.030376717,0.079749498,0.03224193,0,0.184231025,0.054272669,0.084432818,0,0,0.034038463,0,0,0
TCGA-DD-A1EE-01A,cancer,0.02411321,0,0,0.031963547,0,0.058098033,0,0,0.03132017,0,0,0.027210553,0.000671619,0.502971349,0.046318263,0.239002403,0,0,0.038329698,0,0,1.15E-06
TCGA-DD-A1EG-01A,cancer,0.018654383,0,0.034936678,0.091421821,0,0.14195809,0,0.011948757,0.083150867,0.004360489,0,0.028221145,0.017616282,0.312545911,0.047453834,0.158318781,0.027616602,0,0.021796361,0,0,0
TCGA-DD-A1EH-01A,cancer,0.071611404,0,0.055459774,0.113982137,0,0.267375388,0,0,0.055385875,0,0.001227421,0.039275122,0.018662336,0.143371505,0.044837118,0.155082203,0,0,0.033729717,0,0,0
TCGA-DD-A1EI-01A,cancer,0.077988738,0,0.005728288,0.082699352,0,0.246809425,0,0,0.110683799,0,0.003225478,0.01707768,0.03982818,0.166248661,0.037092284,0.180346592,0.002609211,0,0.02966231,0,0,0
TCGA-DD-A1EJ-01A,cancer,0.0160435,0,0.020484416,0.095579888,0,0.081376799,0.006432463,0.012096171,0.080432236,0,0,0.037021378,0.054330727,0.220588533,0.022418902,0.337134933,0,0,0.01455673,0,0,0.001503323
TCGA-DD-A1EL-01A,cancer,0.035596313,0,0,0.057259626,0,0.093265058,0,0.001994401,0.038916935,0,0,0.029661245,0.000196101,0.308381709,0.009766512,0.219950265,0.203121127,0,0.001890708,0,0,0
TCGA-DD-A39V-01A,cancer,0,0,0.018649031,0.374368414,0,0,0.01160139,0.033421006,0.173752714,0,0.019972231,0.04461261,0.050019049,0.069354396,0.072446216,0.105540004,0.003153203,0,0.016771817,0,0,0.006337919
TCGA-DD-A39W-01A,cancer,0.06937264,0,0.015126215,0.15309678,0,0.214592688,0,0,0.060386288,0,0.080012069,0.027538333,0.048012441,0.105471707,0.085226283,0.105407017,0,0,0.033632556,0,0,0.002124981
TCGA-DD-A39X-01A,cancer,0.081312344,0,0.007582185,0.198963874,0,0.173493407,0,0,0.054595069,0,0,0.038407627,0.01842154,0.065102152,0.039665573,0.221050154,0.066430562,0,0.034975514,0,0,0
TCGA-DD-A39Z-01A,cancer,0.048739136,0,0,0.321465647,0,0.271328238,0,0,0.084678099,0,0.077479042,0.027577793,0.031931542,0.022423658,0.015163221,0.093030235,0,0,0.006183389,0,0,0
TCGA-DD-A3A1-01A,cancer,0,0,0,0.148344632,0,0.12838948,0,0.012887942,0.118031586,0,0.002789647,0.036304315,0,0.185309708,0.011405906,0.263076612,0,0,0.025012498,0,0,0.068447675
TCGA-DD-A3A2-01A,cancer,0.088751673,0,0.001368618,0.143531361,0,0.091502689,0,0,0.091323277,0,0.092505016,0.013812661,0.006009699,0.07427335,0.024241553,0.364754465,0,0,0,0,0,0.007925639
TCGA-DD-A3A3-01A,cancer,0.119726198,0,0,0.14762557,0,0.164571409,0.010551646,0,0.040151322,0,0.075731007,0,0,0.209542665,0.038176639,0.192201412,0,0,0.001722132,0,0,0
TCGA-DD-A3A4-01A,cancer,0,0,0,0.283883197,0,0,0,0,0.065284309,0,0.071685548,0.067457415,0.018327405,0.144319081,0.017223387,0.233927584,0,0.003095763,0.094796311,0,0,0
TCGA-DD-A3A6-01A,cancer,0.029161525,0,0.064460238,0.257276145,0,0.078706945,0,0,0.193590186,0,0,0.133258161,0.015326276,0.070675409,0.007529548,0.10001043,0,0,0.050005135,0,0,0
TCGA-DD-A3A8-01A,cancer,0.113138697,0,0.00411043,0.310603246,0,0,0.040867748,0,0.010337353,0,0.228071063,0,0.047137922,0.077106187,0.058169282,0.050354818,0,0,0.049806383,0,0.010296872,0
TCGA-EP-A12J-01A,cancer,0.055102142,0,0,0.133705355,0,0.148363174,0,0,0.061279552,0.041144791,0.067572096,0.049052864,0.024639598,0.026261655,0.072566657,0.22728195,0,0,0.093030166,0,0,0
TCGA-EP-A26S-01A,cancer,0.050503921,0,0,0.06396251,0,0.126576588,0,0,0.082668673,0.015684209,0.073490523,0.033735998,0,0.312721568,0.034101426,0.16972932,0,0,0.036825263,0,0,0
TCGA-EP-A3RK-01A,cancer,0.014401559,0,0.043632199,0.143825422,0,0.180265946,0,0.040695127,0.108898913,0,0,0.051760118,0.016664676,0.132835063,0.030628362,0.171213047,0.051850654,0,0.013328914,0,0,0
TCGA-ES-A2HT-01A,cancer,0.071426396,0,0.094508582,0.054514357,0,0.194757915,0,0.015712521,0.151213574,0,0.025233321,0.018990982,0.021208858,0.064186015,0.072759304,0.207575135,0,0,0.00791304,0,0,0
TCGA-FV-A23B-01A,cancer,0.084324095,0,0.004953127,0.089250909,0,0.318740972,0.017260807,0.018734385,0.045361837,0,0.064733599,0,0.03313257,0.054814596,0.066629004,0.118070991,0.083993107,0,0,0,0,0
TCGA-FV-A2QR-01A,cancer,0.060015044,0,0,0.168518006,0,0.099460349,0,0,0.060056828,0,0.107916931,0.007390525,0.017490634,0.261742656,0.044741126,0.154260752,0,0,0.004910707,0,0,0.013496441
TCGA-FV-A3I0-01A,cancer,0,0.011750937,0.101272066,0.030112811,0,0.149323528,0,0,0.127134806,0,0.071771138,0.029955609,0.076342885,0.115956886,0.022109993,0.197254573,0,0.042439281,0.016688604,0,0,0.007886882
TCGA-FV-A3I1-01A,cancer,0.030164501,0,0.000776718,0.064789049,0,0.177051285,0.013318032,0.042574596,0.121825182,0,0,0.0139519,0.015511393,0.295072111,0.071959993,0.088534134,0.046990557,0,0.017480547,0,0,0
TCGA-FV-A3R2-01A,cancer,0.074054399,0,0,0.123172308,0,0.267692835,0,0,0.117780457,0,0.029757071,0.002631597,0.004577055,0.120010371,0.075122604,0.151329106,0.011094366,0,0.015058835,0,0,0.007718996
TCGA-G3-A3CH-01A,cancer,0.126963112,0,0.00684895,0.07914966,0,0.340913174,0,0,0.11084705,0.00843779,0.019334973,0.000165616,0.021929873,0.021069737,0.090454161,0.145880151,0,0,0.028005754,0,0,0
